Date,2 Yr,10 Yr,30 Yr,Corn Futures,Crude Oil Futures,Gold Futures,S&P 500,Federal Funds Rate,CPI,GDP Growth Rate,Labor Force Participation Rate,Residential,Change in private inventories,Personal consumption expenditures,Intellectual property products
2007-01-03,4.76,4.67,4.77,-0.0506085842408712,-0.0447174377781003,-0.012751946576559,-0.0011986696634412,5.28,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-04,4.71,4.62,4.72,-0.0222672064777328,-0.0468106919842561,-0.0051027767444657,0.0012282862236074,5.24,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-05,4.76,4.65,4.74,0.0165631469979297,0.0129519917022271,-0.0304535971413751,-0.0060845813350688,5.21,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-08,4.78,4.66,4.74,-0.0128988458927359,-0.0039069652874751,0.0042981905786101,0.0022203183417466,5.23,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-09,4.79,4.66,4.74,-0.0247592847317744,-0.0080228340473393,0.0092180668081276,-0.0005166759763383,5.25,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-10,4.81,4.69,4.77,0.0162200282087447,-0.0291157251915096,-0.0024465830365862,0.0019403518584233,5.26,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-11,4.86,4.74,4.82,0.0451075641915337,-0.0396149457888588,0.0013081243624291,0.0063398740911806,5.27,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-12,4.88,4.77,4.86,0.0531208499335988,0.0213955394660496,0.0213912068316317,0.0048531657374917,5.22,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-16,4.86,4.75,4.85,0.0163934426229508,-0.0335912915193862,-0.0014388879521383,0.0008177950845267,5.28,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-17,4.91,4.79,4.88,0.0124069478908188,0.0201133101427148,0.0120076853876982,-0.0008939376178855,5.25,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-18,4.89,4.75,4.85,0.0104166666666667,-0.0336906983093749,-0.0079101411060253,-0.0029707399690382,5.23,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
2007-01-19,4.93,4.78,4.87,-0.0133414190418434,0.0299128793566461,0.0133950322772917,0.0028954653399542,5.25,203.437,1.2,66.4,892211.0,29668.0,11183323.0,546103.0
