Date,Residential,Change in private inventories,Personal consumption expenditures,Intellectual property products,Metric_Name
1990/01/01,,"18,585","6,357,213",,Chained Dollars
1990/01/02,,"18,585","6,357,213",,Chained Dollars
1990/01/03,,"18,585","6,357,213",,Chained Dollars
1990/01/04,,"18,585","6,357,213",,Chained Dollars
1990/01/05,,"18,585","6,357,213",,Chained Dollars
1990/01/06,,"18,585","6,357,213",,Chained Dollars
1990/01/07,,"18,585","6,357,213",,Chained Dollars
1990/01/08,,"18,585","6,357,213",,Chained Dollars
1990/01/09,,"18,585","6,357,213",,Chained Dollars
1990/01/10,,"18,585","6,357,213",,Chained Dollars
1990/01/11,,"18,585","6,357,213",,Chained Dollars
1990/01/12,,"18,585","6,357,213",,Chained Dollars
1990/01/13,,"18,585","6,357,213",,Chained Dollars
1990/01/14,,"18,585","6,357,213",,Chained Dollars
1990/01/15,,"18,585","6,357,213",,Chained Dollars
1990/01/16,,"18,585","6,357,213",,Chained Dollars
1990/01/17,,"18,585","6,357,213",,Chained Dollars
1990/01/18,,"18,585","6,357,213",,Chained Dollars
1990/01/19,,"18,585","6,357,213",,Chained Dollars
1990/01/20,,"18,585","6,357,213",,Chained Dollars
1990/01/21,,"18,585","6,357,213",,Chained Dollars
1990/01/22,,"18,585","6,357,213",,Chained Dollars
1990/01/23,,"18,585","6,357,213",,Chained Dollars
1990/01/24,,"18,585","6,357,213",,Chained Dollars
1990/01/25,,"18,585","6,357,213",,Chained Dollars
1990/01/26,,"18,585","6,357,213",,Chained Dollars
1990/01/27,,"18,585","6,357,213",,Chained Dollars
1990/01/28,,"18,585","6,357,213",,Chained Dollars
1990/01/29,,"18,585","6,357,213",,Chained Dollars
1990/01/30,,"18,585","6,357,213",,Chained Dollars
1990/01/31,,"18,585","6,357,213",,Chained Dollars
1990/02/01,,"46,550","6,376,579",,Chained Dollars
1990/02/02,,"46,550","6,376,579",,Chained Dollars
1990/02/03,,"46,550","6,376,579",,Chained Dollars
1990/02/04,,"46,550","6,376,579",,Chained Dollars
1990/02/05,,"46,550","6,376,579",,Chained Dollars
1990/02/06,,"46,550","6,376,579",,Chained Dollars
1990/02/07,,"46,550","6,376,579",,Chained Dollars
1990/02/08,,"46,550","6,376,579",,Chained Dollars
